scenario,scale,n_items,algorithm,trial,time_s
original,1,18,FirstFit,1,2.1199986804276705e-05
original,1,18,FirstFit,2,1.479999627918005e-05
original,1,18,FirstFit,3,1.3499986380338669e-05
original,1,18,BestFit,1,2.2300053387880325e-05
original,1,18,BestFit,2,1.6700010746717453e-05
original,1,18,BestFit,3,1.650000922381878e-05
original,1,18,FFD,1,3.15000070258975e-05
original,1,18,FFD,2,2.7099973522126675e-05
original,1,18,FFD,3,2.659996971487999e-05
original,1,18,Knapsack,1,0.002050100010819733
original,1,18,Knapsack,2,0.0014935999643057585
original,1,18,Knapsack,3,0.0014220000011846423
original,1,18,BnB,1,0.00016639998648315668
original,1,18,BnB,2,0.00013960001524537802
original,1,18,BnB,3,0.00012959999730810523
original,2,36,FirstFit,1,2.570002106949687e-05
original,2,36,FirstFit,2,2.269999822601676e-05
original,2,36,FirstFit,3,2.19999928958714e-05
original,2,36,BestFit,1,2.7100031729787588e-05
original,2,36,BestFit,2,2.500001573935151e-05
original,2,36,BestFit,3,2.4500011932104826e-05
original,2,36,FFD,1,6.400002166628838e-05
original,2,36,FFD,2,6.220000796020031e-05
original,2,36,FFD,3,6.180000491440296e-05
original,2,36,Knapsack,1,0.0048537999973632395
original,2,36,Knapsack,2,0.0049168000114150345
original,2,36,Knapsack,3,0.005211699986830354
original,2,36,BnB,1,0.0015489000361412764
original,2,36,BnB,2,0.0011198999709449708
original,2,36,BnB,3,0.0010701999999582767
original,5,90,FirstFit,1,0.00010040000779554248
original,5,90,FirstFit,2,9.579997276887298e-05
original,5,90,FirstFit,3,9.519996820017695e-05
original,5,90,BestFit,1,9.980000322684646e-05
original,5,90,BestFit,2,8.810003055259585e-05
original,5,90,BestFit,3,8.980004349723458e-05
original,5,90,FFD,1,0.00035749998642131686
original,5,90,FFD,2,0.0003538000164553523
original,5,90,FFD,3,0.00035390001721680164
original,5,90,Knapsack,1,0.025619500025641173
original,5,90,Knapsack,2,0.02544040000066161
original,5,90,Knapsack,3,0.02452640002593398
original,5,90,BnB,1,0.001960400026291609
original,5,90,BnB,2,0.0010325000039301813
original,5,90,BnB,3,0.00106519996188581
original,10,180,FirstFit,1,0.0003381000133231282
original,10,180,FirstFit,2,0.00036880001425743103
original,10,180,FirstFit,3,0.0003600000054575503
original,10,180,BestFit,1,0.00033249997068196535
original,10,180,BestFit,2,0.00034389999927952886
original,10,180,BestFit,3,0.00031679996754974127
original,10,180,FFD,1,0.00138079997850582
original,10,180,FFD,2,0.0013645000290125608
original,10,180,FFD,3,0.0014122999855317175
original,10,180,Knapsack,1,0.09775509999599308
original,10,180,Knapsack,2,0.09188909997465089
original,10,180,Knapsack,3,0.09482150000985712
original,10,180,BnB,1,0.003934399981517345
original,10,180,BnB,2,0.005213500000536442
original,10,180,BnB,3,0.0053650999907404184
small_first,1,18,FirstFit,1,1.4699995517730713e-05
small_first,1,18,FirstFit,2,1.2699980288743973e-05
small_first,1,18,FirstFit,3,1.1300027836114168e-05
small_first,1,18,BestFit,1,2.010003663599491e-05
small_first,1,18,BestFit,2,1.5300000086426735e-05
small_first,1,18,BestFit,3,1.550000160932541e-05
